step,norm_score
5000,42.27
10000,53.02
15000,43.90
20000,44.67
25000,41.59
30000,44.80
35000,45.82
40000,31.72
45000,46.69
50000,43.12
55000,46.90
60000,43.27
65000,51.48
70000,46.58
75000,54.31
80000,52.22
85000,42.60
90000,43.35
95000,59.35
100000,45.74
105000,44.30
110000,39.62
115000,45.11
120000,47.50
125000,58.65
130000,53.88
135000,49.44
140000,53.95
145000,56.19
150000,59.19
155000,56.01
160000,63.62
165000,53.07
170000,53.96
175000,50.36
180000,46.44
185000,47.15
190000,44.39
195000,57.27
200000,49.27
205000,54.28
210000,53.23
215000,53.51
220000,60.22
225000,52.49
230000,52.19
235000,52.55
240000,51.73
245000,51.32
250000,54.70
255000,59.79
260000,56.66
265000,60.29
270000,57.74
275000,53.32
280000,57.49
285000,66.59
290000,51.83
295000,52.37
300000,58.99
305000,47.42
310000,51.45
315000,57.99
320000,62.60
325000,56.87
330000,55.29
335000,53.62
340000,51.13
345000,53.26
350000,55.07
355000,56.53
360000,49.64
365000,53.95
370000,63.53
375000,58.27
380000,63.18
385000,59.92
390000,49.75
395000,55.41
400000,64.81
405000,51.86
410000,55.50
415000,50.53
420000,54.99
425000,53.40
430000,48.42
435000,54.76
440000,51.80
445000,59.90
450000,55.09
455000,60.10
460000,58.50
465000,60.25
470000,59.70
475000,53.29
480000,63.75
485000,63.55
490000,56.63
495000,53.90
500000,55.33
505000,52.54
510000,56.00
515000,54.84
520000,62.51
525000,60.97
530000,64.54
535000,59.97
540000,49.92
545000,52.51
550000,57.39
555000,59.42
560000,73.63
565000,56.12
570000,56.70
575000,68.36
580000,47.14
585000,64.48
590000,68.83
595000,70.51
600000,56.60
605000,68.01
610000,51.19
615000,52.53
620000,46.14
625000,57.03
630000,57.45
635000,49.69
640000,53.10
645000,60.18
650000,67.22
655000,64.95
660000,58.60
665000,59.56
670000,59.78
675000,57.62
680000,48.23
685000,45.93
690000,52.57
695000,64.39
700000,55.76
705000,53.44
710000,59.49
715000,50.35
720000,61.95
725000,54.94
730000,57.13
735000,49.39
740000,50.99
745000,49.91
750000,56.12
755000,50.61
760000,62.83
765000,64.17
770000,66.72
775000,56.41
780000,51.95
785000,57.28
790000,65.16
795000,60.53
800000,61.15
805000,64.83
810000,56.08
815000,56.29
820000,54.63
825000,56.75
830000,57.70
835000,58.00
840000,50.43
845000,66.31
850000,59.82
855000,55.43
860000,50.21
865000,47.09
870000,56.18
875000,61.71
880000,57.95
885000,61.11
890000,52.40
895000,57.67
900000,60.44
905000,47.90
910000,59.70
915000,58.61
920000,53.83
925000,52.49
930000,58.91
935000,57.67
940000,55.97
945000,49.94
950000,57.98
955000,58.70
960000,50.02
965000,48.70
970000,60.23
975000,67.45
980000,56.60
985000,63.16
990000,48.54
995000,50.12
1000000,59.70
