step,norm_score
5000,45.07
10000,63.01
15000,56.60
20000,53.87
25000,49.94
30000,56.73
35000,56.66
40000,54.14
45000,44.94
50000,41.97
55000,39.31
60000,41.79
65000,43.43
70000,50.34
75000,51.78
80000,40.57
85000,53.49
90000,48.36
95000,47.49
100000,47.57
105000,52.65
110000,56.90
115000,59.46
120000,48.85
125000,53.56
130000,53.14
135000,58.37
140000,56.05
145000,44.70
150000,57.58
155000,42.46
160000,45.94
165000,53.26
170000,53.93
175000,54.19
180000,44.80
185000,54.14
190000,49.70
195000,51.70
200000,54.82
205000,52.74
210000,49.49
215000,53.58
220000,54.17
225000,50.61
230000,57.13
235000,59.35
240000,49.74
245000,42.72
250000,53.86
255000,58.46
260000,44.25
265000,45.46
270000,45.77
275000,53.62
280000,51.04
285000,46.84
290000,49.51
295000,42.26
300000,56.00
305000,59.31
310000,58.02
315000,55.41
320000,47.89
325000,52.51
330000,62.38
335000,57.79
340000,56.02
345000,41.77
350000,44.67
355000,46.85
360000,54.44
365000,43.06
370000,51.15
375000,50.96
380000,64.46
385000,47.64
390000,41.68
395000,54.94
400000,48.81
405000,53.42
410000,48.49
415000,56.40
420000,49.00
425000,47.48
430000,55.28
435000,47.05
440000,53.58
445000,44.17
450000,51.13
455000,50.08
460000,44.54
465000,44.65
470000,44.91
475000,45.79
480000,50.03
485000,45.20
490000,43.05
495000,41.35
500000,55.72
505000,43.33
510000,53.56
515000,46.07
520000,46.34
525000,43.72
530000,45.80
535000,58.18
540000,52.28
545000,51.29
550000,40.97
555000,49.47
560000,44.50
565000,46.71
570000,47.54
575000,51.57
580000,55.95
585000,53.17
590000,45.89
595000,47.60
600000,46.61
605000,48.73
610000,49.10
615000,49.53
620000,47.29
625000,52.87
630000,55.80
635000,41.73
640000,43.87
645000,50.33
650000,42.39
655000,49.37
660000,53.49
665000,49.14
670000,44.24
675000,51.78
680000,41.06
685000,45.13
690000,57.88
695000,47.03
700000,47.90
705000,50.43
710000,44.80
715000,56.49
720000,47.37
725000,56.73
730000,47.94
735000,45.96
740000,48.91
745000,41.62
750000,47.40
755000,47.63
760000,46.91
765000,46.24
770000,49.03
775000,45.17
780000,45.93
785000,42.97
790000,44.14
795000,42.46
800000,48.33
805000,43.07
810000,41.42
815000,49.68
820000,63.45
825000,50.34
830000,46.61
835000,55.37
840000,46.98
845000,46.15
850000,54.04
855000,42.61
860000,54.12
865000,45.09
870000,49.44
875000,52.20
880000,40.91
885000,44.32
890000,46.57
895000,48.94
900000,44.21
905000,52.59
910000,49.75
915000,56.42
920000,50.04
925000,44.91
930000,49.38
935000,41.80
940000,44.79
945000,49.35
950000,56.71
955000,52.13
960000,49.53
965000,55.98
970000,57.19
975000,53.37
980000,57.83
985000,59.20
990000,55.11
995000,48.11
1000000,52.64
