step,norm_score
5000,48.525
10000,61.162
15000,64.493
20000,65.447
25000,67.495
30000,56.436
35000,61.858
40000,58.009
45000,66.169
50000,59.309
55000,60.046
60000,68.573
65000,55.634
70000,64.222
75000,56.576
80000,59.337
85000,58.473
90000,67.419
95000,58.007
100000,51.568
105000,61.448
110000,50.749
115000,55.316
120000,59.186
125000,57.884
130000,54.853
135000,60.113
140000,45.735
145000,54.126
150000,58.887
155000,52.188
160000,53.663
165000,62.777
170000,59.507
175000,58.837
180000,57.194
185000,62.516
190000,65.448
195000,55.256
200000,63.252
205000,61.655
210000,55.845
215000,65.835
220000,53.811
225000,65.238
230000,59.53
235000,55.65
240000,57.071
245000,63.804
250000,63.879
255000,65.175
260000,65.097
265000,67.408
270000,57.839
275000,59.384
280000,65.271
285000,60.403
290000,60.896
295000,67.852
300000,51.637
305000,70.225
310000,47.472
315000,57.464
320000,59.945
325000,59.303
330000,61.989
335000,57.508
340000,60.729
345000,58.447
350000,62.627
355000,61.591
360000,59.921
365000,59.072
370000,59.335
375000,62.235
380000,61.312
385000,65.792
390000,64.645
395000,59.004
400000,61.459
405000,57.829
410000,66.572
415000,54.496
420000,62.35
425000,57.487
430000,64.732
435000,62.921
440000,63.021
445000,66.858
450000,68.774
455000,55.997
460000,62.361
465000,66.688
470000,61.849
475000,59.34
480000,70.833
485000,58.533
490000,65.388
495000,66.973
500000,70.535
505000,53.862
510000,55.201
515000,60.417
520000,56.633
525000,72.14
530000,56.426
535000,62.139
540000,67.925
545000,59.774
550000,61.279
555000,64.526
560000,61.357
565000,57.647
570000,59.77
575000,63.56
580000,60.491
585000,59.191
590000,68.3
595000,62.156
600000,67.802
605000,69.666
610000,66.918
615000,71.926
620000,58.773
625000,64.576
630000,64.297
635000,62.793
640000,61.121
645000,60.821
650000,65.775
655000,64.493
660000,66.392
665000,65.412
670000,65.122
675000,58.919
680000,61.746
685000,63.717
690000,67.34
695000,61.939
700000,68.053
705000,62.531
710000,52.469
715000,61.329
720000,61.389
725000,61.84
730000,67.976
735000,60.752
740000,63.075
745000,66.308
750000,56.439
755000,71.09
760000,62.737
765000,60.436
770000,68.562
775000,73.43
780000,72.723
785000,63.314
790000,57.579
795000,70.568
800000,62.123
805000,58.055
810000,58.852
815000,66.667
820000,56.485
825000,59.507
830000,57.766
835000,56.489
840000,65.778
845000,60.296
850000,65.921
855000,59.679
860000,54.318
865000,58.243
870000,67.769
875000,68.327
880000,64.861
885000,61.369
890000,64.496
895000,63.971
900000,57.123
905000,69.226
910000,69.196
915000,65.353
920000,64.359
925000,56.236
930000,59.68
935000,59.161
940000,63.174
945000,61.591
950000,65.223
955000,55.325
960000,61.078
965000,61.179
970000,66.4
975000,70.605
980000,68.371
985000,59.362
990000,57.241
995000,62.486
1000000,62.18
