step,norm_score
5000,3.138
10000,11.8
15000,54.672
20000,71.921
25000,83.415
30000,49.656
35000,46.184
40000,44.439
45000,50.489
50000,50.193
55000,63.048
60000,49.94
65000,68.468
70000,63.764
75000,58.251
80000,59.712
85000,52.507
90000,51.497
95000,56.933
100000,67.263
105000,64.403
110000,52.517
115000,56.105
120000,79.365
125000,59.16
130000,56.618
135000,58.998
140000,61.795
145000,56.969
150000,55.625
155000,49.904
160000,53.499
165000,67.514
170000,56.196
175000,56.775
180000,66.491
185000,60.763
190000,59.121
195000,64.976
200000,61.917
205000,54.864
210000,75.939
215000,51.441
220000,64.931
225000,65.472
230000,55.69
235000,59.845
240000,59.098
245000,57.696
250000,63.18
255000,57.457
260000,69.942
265000,67.819
270000,47.241
275000,54.695
280000,61.097
285000,60.433
290000,55.601
295000,63.988
300000,53.471
305000,58.73
310000,56.765
315000,55.899
320000,56.121
325000,49.681
330000,52.403
335000,52.657
340000,52.158
345000,56.637
350000,62.734
355000,67.237
360000,57.844
365000,56.85
370000,59.696
375000,58.906
380000,65.178
385000,57.726
390000,67.431
395000,51.569
400000,60.336
405000,59.006
410000,60.3
415000,56.937
420000,57.531
425000,70.341
430000,58.542
435000,57.365
440000,60.341
445000,53.84
450000,56.919
455000,55.252
460000,57.434
465000,54.669
470000,57.139
475000,66.7
480000,58.252
485000,61.274
490000,58.561
495000,59.925
500000,61.094
505000,57.128
510000,54.142
515000,58.237
520000,58.181
525000,59.298
530000,52.632
535000,63.833
540000,59.817
545000,56.797
550000,62.847
555000,59.779
560000,58.636
565000,59.581
570000,63.596
575000,59.09
580000,57.93
585000,60.817
590000,66.481
595000,54.402
600000,56.022
605000,54.374
610000,54.673
615000,60.01
620000,66.863
625000,66.5
630000,66.128
635000,55.568
640000,53.044
645000,53.229
650000,51.387
655000,57.479
660000,58.329
665000,59.868
670000,63.274
675000,64.11
680000,72.22
685000,52.053
690000,56.331
695000,62.124
700000,68.301
705000,61.974
710000,60.831
715000,57.185
720000,57.784
725000,61.69
730000,57.698
735000,56.139
740000,55.104
745000,62.386
750000,71.798
755000,58.287
760000,59.157
765000,60.177
770000,56.808
775000,60.322
780000,59.121
785000,54.941
790000,58.97
795000,59.602
800000,57.995
805000,55.981
810000,64.979
815000,56.969
820000,62.107
825000,56.702
830000,59.551
835000,57.393
840000,62.738
845000,55.965
850000,60.24
855000,54.67
860000,64.004
865000,64.532
870000,60.828
875000,53.712
880000,59.848
885000,64.158
890000,56.52
895000,56.972
900000,58.972
905000,56.732
910000,60.199
915000,59.789
920000,61.094
925000,57.874
930000,60.041
935000,65.951
940000,57.119
945000,60.873
950000,57.579
955000,48.655
960000,65.33
965000,68.456
970000,58.829
975000,61.849
980000,61.68
985000,52.303
990000,53.069
995000,61.429
1000000,57.691
