step,norm_score
5000,61.544
10000,35.215
15000,56.277
20000,41.561
25000,42.175
30000,43.919
35000,41.393
40000,42.305
45000,49.188
50000,41.689
55000,45.713
60000,59.777
65000,40.389
70000,52.37
75000,53.305
80000,49.5
85000,49.838
90000,79.347
95000,47.7
100000,68.793
105000,45.638
110000,41.776
115000,64.749
120000,44.833
125000,52.651
130000,42.221
135000,49.819
140000,52.805
145000,44.524
150000,54.636
155000,47.332
160000,47.389
165000,54.531
170000,42.024
175000,44.936
180000,52.154
185000,46.872
190000,42.149
195000,47.24
200000,49.285
205000,46.829
210000,59.061
215000,56.847
220000,54.953
225000,51.53
230000,59.489
235000,55.745
240000,44.073
245000,53.871
250000,59.361
255000,48.453
260000,55.897
265000,42.604
270000,48.582
275000,44.26
280000,45.491
285000,67.639
290000,44.801
295000,46.084
300000,42.467
305000,54.07
310000,58.428
315000,45.15
320000,54.474
325000,46.269
330000,46.753
335000,50.919
340000,50.904
345000,50.001
350000,51.303
355000,49.247
360000,54.259
365000,57.221
370000,47.862
375000,70.508
380000,53.312
385000,68.401
390000,51.184
395000,66.291
400000,65.881
405000,60.63
410000,48.761
415000,52.573
420000,55.439
425000,65.758
430000,46.522
435000,71.473
440000,52.816
445000,61.452
450000,59.191
455000,75.18
460000,66.656
465000,47.778
470000,47.442
475000,58.14
480000,58.521
485000,70.101
490000,63.428
495000,56.8
500000,57.437
505000,56.403
510000,60.109
515000,64.105
520000,61.411
525000,68.268
530000,61.047
535000,68.672
540000,49.314
545000,53.088
550000,51.624
555000,59.972
560000,59.401
565000,57.627
570000,65.655
575000,64.229
580000,68.991
585000,59.554
590000,57.953
595000,58.438
600000,72.92
605000,58.251
610000,68.791
615000,57.778
620000,57.424
625000,63.268
630000,64.76
635000,52.473
640000,54.885
645000,50.685
650000,49.992
655000,57.448
660000,49.596
665000,59.352
670000,56.684
675000,58.287
680000,55.826
685000,64.031
690000,57.015
695000,56.948
700000,52.851
705000,49.913
710000,60.574
715000,59.594
720000,65.429
725000,52.394
730000,55.204
735000,66.659
740000,50.449
745000,58.041
750000,59.118
755000,62.798
760000,54.648
765000,53.038
770000,66.72
775000,57.198
780000,53.213
785000,59.309
790000,54.126
795000,59.285
800000,60.906
805000,63.434
810000,57.605
815000,62.658
820000,59.565
825000,48.584
830000,57.883
835000,67.656
840000,64.35
845000,60.221
850000,65.029
855000,55.012
860000,57.254
865000,54.501
870000,59.194
875000,59.213
880000,53.074
885000,59.872
890000,58.421
895000,59.566
900000,57.291
905000,52.498
910000,60.388
915000,55.599
920000,59.733
925000,61.469
930000,52.235
935000,57.153
940000,46.09
945000,60.078
950000,64.722
955000,55.953
960000,56.478
965000,57.963
970000,60.647
975000,54.892
980000,58.151
985000,57.799
990000,55.263
995000,59.565
1000000,62.907
