step,norm_score
5000,36.327
10000,47.105
15000,58.457
20000,51.954
25000,69.936
30000,51.294
35000,63.892
40000,55.624
45000,61.17
50000,67.349
55000,37.63
60000,42.957
65000,45.066
70000,55.756
75000,38.836
80000,52.238
85000,47.492
90000,64.778
95000,43.468
100000,40.641
105000,62.311
110000,38.341
115000,45.04
120000,42.447
125000,39.122
130000,38.708
135000,67.809
140000,44.982
145000,50.969
150000,48.132
155000,50.229
160000,36.242
165000,48.732
170000,40.429
175000,39.156
180000,50.481
185000,37.013
190000,39.346
195000,37.509
200000,36.984
205000,46.165
210000,36.217
215000,37.424
220000,37.643
225000,37.635
230000,36.097
235000,36.158
240000,46.797
245000,37.571
250000,34.878
255000,39.13
260000,45.811
265000,36.124
270000,69.998
275000,39.196
280000,40.577
285000,51.41
290000,48.013
295000,47.492
300000,54.286
305000,55.604
310000,47.813
315000,50.028
320000,47.473
325000,57.634
330000,56.242
335000,39.983
340000,38.364
345000,48.871
350000,39.861
355000,47.683
360000,42.115
365000,45.674
370000,42.643
375000,47.379
380000,55.444
385000,43.311
390000,52.483
395000,68.391
400000,39.132
405000,39.941
410000,57.202
415000,41.37
420000,69.538
425000,49.937
430000,58.199
435000,42.193
440000,48.716
445000,38.99
450000,57.471
455000,53.538
460000,52.458
465000,51.343
470000,50.887
475000,56.353
480000,51.022
485000,50.978
490000,56.668
495000,45.517
500000,58.011
505000,52.218
510000,51.353
515000,56.335
520000,45.214
525000,42.669
530000,49.651
535000,58.429
540000,43.612
545000,56.201
550000,53.013
555000,48.214
560000,41.959
565000,44.402
570000,43.925
575000,58.913
580000,41.867
585000,54.661
590000,48.655
595000,51.939
600000,54.367
605000,42.099
610000,50.605
615000,55.61
620000,48.599
625000,54.127
630000,55.943
635000,59.71
640000,43.993
645000,43.454
650000,49.221
655000,41.98
660000,43.695
665000,39.597
670000,53.644
675000,52.521
680000,52.26
685000,52.612
690000,48.855
695000,51.453
700000,53.422
705000,44.04
710000,43.597
715000,54.443
720000,61.104
725000,53.616
730000,42.452
735000,59.417
740000,48.012
745000,46.071
750000,42.2
755000,45.575
760000,55.342
765000,53.911
770000,58.787
775000,54.401
780000,50.501
785000,52.722
790000,44.126
795000,55.244
800000,47.28
805000,64.162
810000,45.48
815000,52.604
820000,52.971
825000,47.338
830000,47.554
835000,49.096
840000,43.274
845000,52.862
850000,48.494
855000,49.07
860000,43.73
865000,43.229
870000,52.416
875000,49.103
880000,46.685
885000,55.332
890000,49.609
895000,48.519
900000,59.196
905000,44.776
910000,46.98
915000,45.253
920000,45.569
925000,51.49
930000,42.774
935000,50.458
940000,53.557
945000,48.925
950000,49.892
955000,44.903
960000,47.778
965000,45.667
970000,50.207
975000,45.031
980000,47.359
985000,50.511
990000,50.035
995000,50.293
1000000,49.099
