step,norm_score
5000,57.911
10000,59.527
15000,44.677
20000,41.449
25000,49.445
30000,50.381
35000,49.392
40000,50.09
45000,48.518
50000,48.347
55000,51.105
60000,43.654
65000,54.256
70000,53.763
75000,48.568
80000,46.835
85000,51.345
90000,46.187
95000,57.397
100000,54.075
105000,56.402
110000,53.235
115000,59.796
120000,54.869
125000,50.602
130000,53.473
135000,68.868
140000,58.157
145000,54.887
150000,54.239
155000,59.109
160000,60.566
165000,51.44
170000,61.779
175000,48.107
180000,63.244
185000,49.785
190000,57.379
195000,62.961
200000,58.284
205000,44.907
210000,56.849
215000,55.089
220000,51.867
225000,49.707
230000,56.41
235000,52.63
240000,62.192
245000,50.475
250000,60.425
255000,60.058
260000,48.272
265000,63.595
270000,47.697
275000,63.758
280000,52.23
285000,57.43
290000,61.223
295000,54.418
300000,57.216
305000,60.717
310000,44.04
315000,56.905
320000,54.638
325000,56.252
330000,60.23
335000,54.804
340000,61.614
345000,52.385
350000,56.444
355000,59.094
360000,54.589
365000,55.68
370000,52.966
375000,56.193
380000,58.206
385000,56.265
390000,59.637
395000,60.765
400000,57.042
405000,50.544
410000,60.479
415000,52.315
420000,54.542
425000,55.295
430000,66.197
435000,61.941
440000,65.801
445000,54.062
450000,54.469
455000,62.269
460000,62.656
465000,56.421
470000,54.708
475000,52.125
480000,61.735
485000,60.767
490000,56.015
495000,60.538
500000,62.081
505000,63.962
510000,56.878
515000,56.982
520000,58.53
525000,61.285
530000,57.072
535000,61.418
540000,58.143
545000,61.911
550000,58.669
555000,56.507
560000,55.034
565000,62.906
570000,59.388
575000,54.902
580000,58.108
585000,51.735
590000,59.336
595000,55.055
600000,60.636
605000,58.437
610000,51.732
615000,55.809
620000,57.891
625000,68.189
630000,53.273
635000,56.868
640000,54.665
645000,67.328
650000,53.045
655000,55.881
660000,55.933
665000,57.351
670000,61.781
675000,53.028
680000,58.595
685000,57.527
690000,57.129
695000,60.263
700000,61.086
705000,54.01
710000,59.631
715000,53.99
720000,54.771
725000,59.794
730000,61.984
735000,54.091
740000,57.307
745000,59.022
750000,66.002
755000,51.207
760000,61.569
765000,54.776
770000,57.96
775000,55.199
780000,61.199
785000,58.339
790000,65.964
795000,54.146
800000,57.732
805000,58.024
810000,65.05
815000,44.579
820000,54.695
825000,61.106
830000,58.783
835000,62.822
840000,63.141
845000,59.184
850000,59.744
855000,54.148
860000,65.647
865000,55.785
870000,57.291
875000,61.34
880000,51.773
885000,54.133
890000,63.422
895000,60.113
900000,60.909
905000,59.514
910000,58.066
915000,53.032
920000,57.139
925000,57.454
930000,65.367
935000,59.865
940000,71.015
945000,62.903
950000,71.259
955000,59.158
960000,55.275
965000,58.744
970000,59.54
975000,72.209
980000,55.877
985000,63.296
990000,60.716
995000,62.802
1000000,55.501
