step,norm_score
5000,28.122
10000,57.385
15000,19.627
20000,30.21
25000,31.018
30000,38.341
35000,47.769
40000,38.445
45000,43.101
50000,42.123
55000,25.002
60000,28.998
65000,42.589
70000,51.132
75000,46.366
80000,48.518
85000,50.916
90000,50.823
95000,60.495
100000,59.799
105000,41.271
110000,26.589
115000,17.274
120000,17.02
125000,48.032
130000,3.597
135000,56.515
140000,52.302
145000,51.208
150000,46.634
155000,28.515
160000,48.687
165000,3.423
170000,3.364
175000,44.969
180000,60.218
185000,18.756
190000,3.454
195000,61.638
200000,3.537
205000,29.433
210000,3.563
215000,3.465
220000,54.711
225000,54.625
230000,40.355
235000,78.319
240000,45.052
245000,52.611
250000,36.306
255000,35.518
260000,28.573
265000,49.741
270000,8.037
275000,53.33
280000,3.685
285000,3.708
290000,3.528
295000,3.752
300000,3.591
305000,3.575
310000,3.593
315000,36.906
320000,56.557
325000,3.589
330000,3.601
335000,3.579
340000,19.748
345000,3.455
350000,31.386
355000,13.259
360000,3.498
365000,3.493
370000,3.444
375000,71.773
380000,55.612
385000,55.164
390000,63.219
395000,57.828
400000,67.148
405000,55.121
410000,42.148
415000,46.857
420000,61.862
425000,61.255
430000,63.918
435000,61.864
440000,61.235
445000,63.541
450000,59.855
455000,60.84
460000,59.7
465000,52.269
470000,56.469
475000,54.705
480000,50.056
485000,66.408
490000,53.098
495000,61.062
500000,59.467
505000,62.584
510000,55.115
515000,52.122
520000,58.11
525000,55.368
530000,59.298
535000,65.496
540000,54.916
545000,73.637
550000,57.653
555000,51.591
560000,53.503
565000,68.914
570000,65.131
575000,56.18
580000,63.22
585000,56.158
590000,50.188
595000,58.056
600000,54.945
605000,55.398
610000,49.957
615000,62.955
620000,61.837
625000,68.748
630000,59.414
635000,59.432
640000,53.542
645000,64.748
650000,58.889
655000,59.009
660000,55.473
665000,57.456
670000,61.896
675000,56.627
680000,54.602
685000,62.718
690000,60.552
695000,58.134
700000,66.339
705000,62.009
710000,59.957
715000,62.126
720000,55.991
725000,60.17
730000,58.621
735000,56.686
740000,61.223
745000,59.145
750000,60.553
755000,67.523
760000,67.326
765000,51.646
770000,57.278
775000,62.027
780000,57.17
785000,68.114
790000,67.552
795000,56.938
800000,56.772
805000,61.358
810000,66.637
815000,49.265
820000,59.955
825000,69.882
830000,64.48
835000,60.748
840000,59.742
845000,54.962
850000,58.236
855000,61.819
860000,59.042
865000,66.745
870000,57.906
875000,59.997
880000,61.835
885000,50.204
890000,62.15
895000,53.176
900000,52.396
905000,62.336
910000,69.561
915000,59.541
920000,63.399
925000,59.724
930000,61.779
935000,64.906
940000,57.777
945000,57.738
950000,64.959
955000,65.397
960000,58.766
965000,61.306
970000,59.132
975000,69.831
980000,57.365
985000,61.79
990000,57.61
995000,59.096
1000000,58.683
